Approach,Sample Size,Avg. Indexing Time,Avg. Sampling Time
Feature,100,2.2385101985931395,2.446216583251953
Feature,200,2.2385101985931395,9.643278169631959
Feature,300,2.2385101985931395,21.78467390537262
Feature,400,2.2385101985931395,40.51823935508728
Feature,500,2.2385101985931395,61.245110273361206
Longest,100,0.0,0.06841523647308345
Longest,200,0.0,0.06699473857879634
Longest,300,0.0,0.06525509357452389
Longest,400,0.0,0.06508710384368893
Longest,500,0.0,0.0662969589233398
Random,100,0.0,7.140636444090921e-05
Random,200,0.0,0.00010826587676996001
Random,300,0.0,0.00015029907226559
Random,400,0.0,0.00018296241760247
Random,500,0.0,0.00022428035736079
Sequence,100,0.5140857744216919,0.09397363662719721
Sequence,200,0.5140857744216919,0.18259871006011957
Sequence,300,0.5140857744216919,0.2896759510040283
Sequence,400,0.5140857744216919,0.35839953422546383
Sequence,500,0.5140857744216919,0.415225625038147
