approach,Avg. Indexing Time,sample_size,Avg. Sampling Time
Feature,0.39033955097198486,100,0.4792614459991455
Feature,0.39033955097198486,200,1.3429744243621826
Feature,0.39033955097198486,300,2.3272364139556885
Feature,0.39033955097198486,400,3.759780168533325
Feature,0.39033955097198486,500,5.3661211967468265
Longest,0.0,100,0.004325509071350051
Longest,0.0,200,0.00425164699554438
Longest,0.0,300,0.00431785583496087
Longest,0.0,400,0.00429599285125728
Longest,0.0,500,0.0043406963348388
Random,0.0,100,5.507469177246094e-05
Random,0.0,200,8.385181427001953e-05
Random,0.0,300,0.00011260509490963
Random,0.0,400,9.546279907225813e-05
Random,0.0,500,0.00011756420135492999
Sequence,0.04176636695861812,100,0.05418016910552973
Sequence,0.04176636695861812,200,0.09911272525787349
Sequence,0.04176636695861812,300,0.14863600730895993
Sequence,0.04176636695861812,400,0.2090718507766723
Sequence,0.04176636695861812,500,0.25066435337066645
