sample_size;time;;;
100;1598.71052122116;26.4880108483633;;
100;2162.25230097771;;;
100;908.491005897522;;;
100;1218.940939188;;;
100;1806.66614723206;;;
100;1756.16335177422;;;
100;1450.57465052605;;;
100;1626.3490281105;;;
100;1853.4000723362;;;
100;1511.25849175453;;;
200;2651.03198671341;52.2747556821505;;
200;2883.77816152573;;;
200;3329.21088433266;;;
200;2468.90335249901;;;
200;3572.97448778152;;;
200;2547.05871844292;;;
200;3366.45160531998;;;
200;3758.90417194366;;;
200;2622.98802518845;;;
200;4163.55201554298;;;
300;5755.21217727661;76.1736708068848;;
300;5570.34162759781;;;
300;4778.65522813797;;;
300;3773.2409555912;;;
300;4205.23247742653;;;
300;3871.60132813454;;;
300;4344.41406869888;;;
300;5357.66314888001;;;
300;4495.21690511704;;;
300;3552.62456727028;;;
400;4580.13514995575;68.7684887154897;;
400;4290.32068371773;;;
400;3657.2845890522;;;
400;4052.01541042328;;;
400;5237.26046204567;;;
400;3468.53309106827;;;
400;4063.11990237236;;;
400;3337.25896835327;;;
400;4268.55754113197;;;
400;4306.60743117332;;;
500;7572.6679327488;118.774536594947;;
500;7857.35578322411;;;
500;6106.88489246368;;;
500;7607.07372975349;;;
500;7592.47028017044;;;
500;6537.77143120766;;;
500;7237.59286475182;;;
500;8275.0844810009;;;
500;6042.47090768814;;;
500;6435.34965395928;;;
complete;> 7200;;;
complete;> 7200;;;
complete;> 7200;;;
complete;> 7200;;;
complete;> 7200;;;
complete;> 7200;;;
complete;> 7200;;;
complete;> 7200;;;
complete;> 7200;;;
complete;> 7200;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;7;2;0;0
;7;2;0;0
;7;2;0;0
;7;2;0;0
;7;2;0;0
;7;2;0;0
;7;2;0;0
;7;2;0;0
;7;2;0;0
;7;2;0;0
